Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
IMP3,15q24.2,0.56450551,8.21E-13,3.72E-11
BET1,7q21.3,0.564343304,8.36E-13,3.78E-11
SRPRB,3q22.1,0.564290826,8.41E-13,3.80E-11
MRPS22,3q23,0.56388054,8.81E-13,3.97E-11
COX6A1,12q24.31,0.563770812,8.92E-13,4.01E-11
NAA38,17p13.1,0.563675397,9.02E-13,4.04E-11
FAM53B,10q26.13,-0.563546587,9.15E-13,4.09E-11
MRPL16,11q12.1,0.563231716,9.48E-13,4.23E-11
CAPZA2,7q31.2,0.562964553,9.76E-13,4.35E-11
JAGN1,3p25.3,0.562835743,9.91E-13,4.40E-11
MRM3,17p13.3,0.562807118,9.94E-13,4.40E-11
PNO1,2p14,0.56275941,9.99E-13,4.42E-11
TBCE,1q42.3,0.562726015,1.00E-12,4.42E-11
MYH9,22q12.3,-0.562597204,1.02E-12,4.48E-11
CRCP,7q11.21,0.562439769,1.04E-12,4.55E-11
NCOR2,12q24.31,-0.561781404,1.11E-12,4.88E-11
FIS1,7q22.1,0.561733696,1.12E-12,4.90E-11
HMGN4,6p22.2,0.561709842,1.12E-12,4.90E-11
ENY2,8q23.1,0.561533324,1.15E-12,4.98E-11
TMEM14B,6p24.2,0.561528553,1.15E-12,4.98E-11
EIF5A,17p13.1,0.561461762,1.16E-12,5.01E-11
TFB2M,1q44,0.561337722,1.17E-12,5.07E-11
ALKBH2,12q24.11,0.561099184,1.20E-12,5.19E-11
ADCY9,16p13.3,-0.560922666,1.23E-12,5.28E-11
SUPT6H,17q11.2,-0.56082248,1.24E-12,5.32E-11
GPX7,1p32.3,0.560808168,1.24E-12,5.32E-11
DBF4,7q21.12,0.560798626,1.24E-12,5.32E-11
COX18,4q13.3,0.560779543,1.25E-12,5.32E-11
MRPL15,8q11.23,0.56069844,1.26E-12,5.36E-11
ZNF710,15q26.1,-0.560416965,1.30E-12,5.51E-11
RPL24,3q12.3,0.560402653,1.30E-12,5.51E-11
MSRB1,16p13.3,0.560254759,1.32E-12,5.59E-11
EEF1AKMT1,13q12.11,0.559768141,1.39E-12,5.89E-11
SDHD,11q23.1,0.559644101,1.41E-12,5.96E-11
EXOC6B,2p13.2,-0.559572539,1.43E-12,5.99E-11
GSTP1,11q13.2,0.559238586,1.48E-12,6.21E-11
KIAA1109,4q27,-0.559095463,1.50E-12,6.28E-11
COPS5,8q13.1,0.559090692,1.50E-12,6.28E-11
BOLA3,2p13.1,0.559057297,1.51E-12,6.29E-11
ST20,15q25.1,0.55901436,1.52E-12,6.31E-11
DPM3,1q22,0.558842612,1.55E-12,6.42E-11
PRADC1,2p13.2,0.558651782,1.58E-12,6.54E-11
MRPS21,1q21.2,0.558623157,1.58E-12,6.55E-11
TRAPPC4,11q23.3,0.55858022,1.59E-12,6.56E-11
ITGAE,17p13.2,0.558565908,1.59E-12,6.56E-11
MRPL21,11q13.3,0.558484805,1.61E-12,6.61E-11
TOMM6,6p21.1,0.558408473,1.62E-12,6.64E-11
NCOA2,8q13.3,-0.558398931,1.62E-12,6.64E-11
TSG101,11p15.1,0.558341682,1.63E-12,6.67E-11
TRAPPC2B,19q13.43,0.55832737,1.64E-12,6.67E-11
CELSR2,1p13.3,-0.557998187,1.70E-12,6.88E-11
USP34,2p15,-0.557993416,1.70E-12,6.88E-11
RPSAP9,9q21.13,0.557983875,1.70E-12,6.88E-11
TULP4,6q25.3,-0.557902772,1.71E-12,6.93E-11
SSR2,1q22,0.557592672,1.77E-12,7.15E-11
ATG2A,11q13.1,-0.557530652,1.79E-12,7.19E-11
CENPK,5q12.3,0.557478174,1.80E-12,7.22E-11
IAH1,2p25.1,0.557244406,1.84E-12,7.39E-11
RPS3A,4q31.3,0.55701541,1.89E-12,7.56E-11
COA5,2q11.2,0.556991556,1.90E-12,7.57E-11
MRPL46,15q25.3,0.556943848,1.91E-12,7.59E-11
TAX1BP1,7p15.2,0.556867516,1.92E-12,7.64E-11
TMPPE,3p22.3,-0.556800725,1.94E-12,7.68E-11
PEX2,8q21.13,0.556753018,1.95E-12,7.71E-11
POC5,5q13.3,0.556543104,1.99E-12,7.87E-11
CKLF,16q21,0.556404752,2.02E-12,7.97E-11
MED13L,12q24.21,-0.55633319,2.04E-12,8.02E-11
TMEM267,5p12,0.555899051,2.14E-12,8.38E-11
BIRC6,2p22.3,-0.55589428,2.14E-12,8.38E-11
SMIM7,19p13.11,0.555407662,2.25E-12,8.82E-11
SIDT2,11q23.3,-0.555374266,2.26E-12,8.84E-11
SMIM19,8p11.21,0.555293163,2.28E-12,8.87E-11
PAIP1,5p12,0.555293163,2.28E-12,8.87E-11
NAXE,1q22,0.55527408,2.29E-12,8.87E-11
PSMA3,14q23.1,0.55527408,2.29E-12,8.87E-11
PRRC2B,9q34.13,-0.555006918,2.36E-12,9.11E-11
IFT43,14q24.3,0.55489719,2.38E-12,9.20E-11
PSMB6,17p13.2,0.554878107,2.39E-12,9.20E-11
TMEM101,17q21.31,0.554505987,2.49E-12,9.57E-11
MTHFR,1p36.22,-0.554486904,2.49E-12,9.57E-11
POP5,12q24.31,0.554367635,2.53E-12,9.67E-11
NME2,17q21.33,0.554291303,2.55E-12,9.72E-11
TADA1,1q24.1,0.554286532,2.55E-12,9.72E-11
RPF1,1p22.3,0.554214971,2.57E-12,9.78E-11
ITGB1BP1,2p25.1,0.554133868,2.59E-12,9.85E-11
GAB2,11q14.1,-0.553298984,2.84E-12,1.08E-10
SPTBN1,2p16.2,-0.553093841,2.90E-12,1.09E-10
NDUFS5,1p34.3,0.55308907,2.90E-12,1.09E-10
MRPL42,12q22,0.55308907,2.90E-12,1.09E-10
NDUFAB1,16p12.2,0.552678784,3.03E-12,1.14E-10
MOB4,2q33.1,0.552492725,3.10E-12,1.16E-10
CPSF3,2p25.1,0.552359143,3.14E-12,1.18E-10
IBA57,1q42.13,-0.552335289,3.15E-12,1.18E-10
BICRAL,6p21.1,-0.55214923,3.21E-12,1.20E-10
SFMBT2,10p14,-0.551495635,3.45E-12,1.29E-10
ATP5ME,4p16.3,0.551471781,3.46E-12,1.29E-10
UBE2D4,7p13,0.55121893,3.55E-12,1.32E-10
EMC6,17p13.2,0.550942226,3.66E-12,1.36E-10
ABCA3,16p13.3,-0.550837269,3.70E-12,1.37E-10
KTI12,1p32.3,0.550632126,3.79E-12,1.40E-10
DGKD,2q37.1,-0.550608273,3.79E-12,1.40E-10
PRELID1P6,2p15,0.55034588,3.90E-12,1.44E-10
MECP2,Xq28,-0.549916512,4.09E-12,1.50E-10
ARHGEF11,1q23.1,-0.549887887,4.10E-12,1.50E-10
NFIC,19p13.3,-0.549873575,4.11E-12,1.50E-10
MROH1,8q24.3,-0.549615953,4.22E-12,1.54E-10
SLC23A2,20p13,-0.549434664,4.30E-12,1.57E-10
TRIM8,10q24.32,-0.549162731,4.43E-12,1.61E-10
COX5B,2q11.2,0.549029149,4.50E-12,1.63E-10
C12ORF57,12p13.31,0.548924193,4.55E-12,1.65E-10
NFU1,2p13.3,0.548499594,4.76E-12,1.72E-10
C18ORF21,18q12.2,0.548370784,4.82E-12,1.74E-10
WDFY3,4q21.23,-0.548256285,4.88E-12,1.76E-10
C19ORF53,19p13.13,0.548251515,4.89E-12,1.76E-10
EIF2B3,1p34.1,0.548189495,4.92E-12,1.77E-10
ZSWIM8,10q22.2,-0.548094079,4.97E-12,1.78E-10
THYN1,11q25,0.548070226,4.98E-12,1.78E-10
DCTPP1,16p11.2,0.548022518,5.01E-12,1.79E-10
ANKRD11,16q24.3,-0.547803063,5.13E-12,1.83E-10
CHCHD5,2q14.1,0.547777477,5.14E-12,1.83E-10
TTC9C,11q12.3,0.547607461,5.23E-12,1.86E-10
HSD17B10,Xp11.22,0.547559754,5.26E-12,1.87E-10
RPS14,5q33.1,0.547311674,5.40E-12,1.91E-10
PSMA4,15q25.1,0.547125614,5.51E-12,1.95E-10
COMMD7,20q11.21,0.546977721,5.60E-12,1.97E-10
VPS25,17q21.31,0.546782119,5.71E-12,2.01E-10
LAMTOR2,1q22,0.546672392,5.78E-12,2.03E-10
KLHL7,7p15.3,0.546624684,5.81E-12,2.04E-10
UQCR11,19p13.3,0.546309813,6.01E-12,2.10E-10
MRPL36,5p15.33,0.546281189,6.03E-12,2.11E-10
TMEM106C,12q13.11,0.546080817,6.15E-12,2.15E-10
LSM2,6p21.33,0.546047421,6.18E-12,2.15E-10
GTF2B,1p22.2,0.545947235,6.24E-12,2.17E-10
EXOSC8,13q13.3,0.545904298,6.27E-12,2.18E-10
MKKS,20p12.2,0.545761176,6.37E-12,2.21E-10
OSER1,20q13.12,0.545589428,6.48E-12,2.24E-10
METTL21A,2q33.3,0.545579886,6.49E-12,2.24E-10
CLNS1A,11q14.1,0.545575116,6.49E-12,2.24E-10
ZNF592,15q25.3,-0.54547493,6.56E-12,2.26E-10
ZFHX3,16q22.2-q22.3,-0.545465388,6.57E-12,2.26E-10
EIF4E,4q23,0.545322265,6.67E-12,2.29E-10
DUS4L,7q22.3,0.545245933,6.72E-12,2.30E-10
NDUFC1,4q31.1,0.545098039,6.83E-12,2.34E-10
PRRC2C,1q24.3,-0.545016936,6.89E-12,2.35E-10
MRPL30,2q11.2,0.544988312,6.91E-12,2.35E-10
UQCRHL,1p36.21,0.544849959,7.01E-12,2.38E-10
BTF3,5q13.2,0.544702066,7.12E-12,2.42E-10
PCID2,13q34,0.54460665,7.19E-12,2.44E-10
SAMD4B,19q13.2,-0.544339488,7.40E-12,2.50E-10
MRPL45,17q12,0.54416774,7.53E-12,2.55E-10
DLG5,10q22.3,-0.543962597,7.70E-12,2.59E-10
MRPL12,17q25.3,0.543953056,7.71E-12,2.59E-10
SRRM2,16p13.3,-0.543867182,7.78E-12,2.61E-10
NOPCHAP1,12q23.3,0.543805162,7.83E-12,2.62E-10
GEMIN7,19q13.32,0.54379562,7.84E-12,2.62E-10
IGF2R,6q25.3,-0.54372883,7.89E-12,2.64E-10
MRPL14,6p21.1,0.543313773,8.24E-12,2.75E-10
MRPS28,8q21.13,0.54323267,8.31E-12,2.77E-10
TLN1,9p13.3,-0.543132484,8.40E-12,2.79E-10
METTL23,17q25.2,0.543089547,8.44E-12,2.80E-10
FASTKD3,5p15.31,0.542836697,8.67E-12,2.87E-10
LYRM1,16p12.3,0.542769906,8.73E-12,2.89E-10
MAPKAPK5,12q24.12-q24.13,0.542707886,8.78E-12,2.90E-10
NUP42,7p15.3,0.542493202,8.98E-12,2.96E-10
GNPDA1,5q31.3,0.542488431,8.99E-12,2.96E-10
C12ORF73,12q23.3,0.542369162,9.10E-12,2.99E-10
CMIP,16q23.2-q23.3,-0.541944564,9.51E-12,3.12E-10
RPSA,3p22.1,0.541810982,9.65E-12,3.16E-10
DNTTIP1,20q13.12,0.541715567,9.74E-12,3.19E-10
MAP1A,15q15.3,-0.541682172,9.78E-12,3.19E-10
MAP3K3,17q23.3,-0.541472258,1.00E-11,3.26E-10
TMEM68,8q12.1,0.541372072,1.01E-11,3.29E-10
DERA,12p12.3,0.541343447,1.01E-11,3.29E-10
TSEN15,1q25.3,0.541243261,1.02E-11,3.32E-10
TNRC6B,22q13.1,-0.541224178,1.03E-11,3.32E-10
PRIMPOL,4q35.1,0.541147846,1.03E-11,3.34E-10
MYO9A,15q23,-0.541143075,1.03E-11,3.34E-10
VPS13D,1p36.22-p36.21,-0.541033348,1.05E-11,3.37E-10
JAK1,1p31.3,-0.540656457,1.09E-11,3.50E-10
C14ORF119,14q11.2,0.540556271,1.10E-11,3.53E-10
BRK1,3p25.3,0.540522876,1.10E-11,3.54E-10
SBDSP1,7q11.23,0.540417919,1.12E-11,3.57E-10
SELENOF,1p22.3,0.540351128,1.12E-11,3.59E-10
MRPS26,20p13,0.540332045,1.13E-11,3.59E-10
POMP,13q12.3,0.540126902,1.15E-11,3.66E-10
KDELR2,7p22.1,0.540117361,1.15E-11,3.66E-10
RPL27,17q21.31,0.539511474,1.23E-11,3.89E-10
TANC2,17q23.2-q23.3,-0.539277706,1.26E-11,3.98E-10
UBAC2,13q32.3,0.539139354,1.27E-11,4.04E-10
ARMC10,7q22.1,0.538843567,1.31E-11,4.15E-10
SNX27,1q21.3,-0.538724298,1.33E-11,4.19E-10
PAK1IP1,6p24.2,0.538724298,1.33E-11,4.19E-10
PDPK1,16p13.3,-0.53849053,1.36E-11,4.29E-10
TMEM126B,11q14.1,0.538414198,1.37E-11,4.32E-10
COX8A,11q13.1,0.538299699,1.39E-11,4.36E-10
NAA20,20p11.23,0.538228138,1.40E-11,4.38E-10
MLXIP,12q21.31,-0.538218596,1.40E-11,4.38E-10
NDUFB11,Xp11.3,0.538156576,1.41E-11,4.40E-10
TIMM21,18q22.3,0.537822623,1.46E-11,4.55E-10
CENPQ,6p12.3,0.537770145,1.47E-11,4.57E-10
CCT2,12q15,0.537488669,1.51E-11,4.68E-10
PSMC6,14q22.1,0.537483899,1.51E-11,4.68E-10
HIVEP2,6q24.2,-0.537483899,1.51E-11,4.68E-10
SUPT4H1,17q22,0.536978198,1.59E-11,4.93E-10
CCSER2,10q23.1,-0.536849387,1.61E-11,4.98E-10
CCNH,5q14.3,0.536610849,1.65E-11,5.10E-10
TMEM116,12q24.13,0.536510663,1.67E-11,5.14E-10
PPIL3,2q33.1,0.536381852,1.69E-11,5.20E-10
DHRSX,Xp22.33 and Yp11.2,0.536343686,1.70E-11,5.22E-10
ATP5PB,1p13.2,0.536176709,1.73E-11,5.30E-10
KCNC3,19q13.33,-0.535828443,1.79E-11,5.48E-10
CEP20,16p13.11,0.535656696,1.82E-11,5.57E-10
SLC12A6,15q14,-0.535580364,1.84E-11,5.61E-10
TIMM9,14q23.1,0.535456324,1.86E-11,5.67E-10
MPG,16p13.3,0.535160536,1.92E-11,5.83E-10
STK16,2q35,0.534950623,1.96E-11,5.95E-10
CCDC126,7p15.3,0.534707314,2.01E-11,6.09E-10
UBXN8,8p12,0.534688231,2.01E-11,6.09E-10
DUSP12,1q23.3,0.53468346,2.01E-11,6.09E-10
BICD2,9q22.31,-0.534516483,2.05E-11,6.18E-10
CBL,11q23.3,-0.534425838,2.07E-11,6.23E-10
BOLA1,1q21.2,0.534416297,2.07E-11,6.23E-10
SPEN,1p36.21-p36.13,-0.534330423,2.09E-11,6.27E-10
SSNA1,9q34.3,0.53406326,2.15E-11,6.44E-10
ZNF593,1p36.11,0.533967845,2.17E-11,6.49E-10
SMIM11A,21q22.11-q22.12,0.533600496,2.25E-11,6.73E-10
RAPGEF2,4q32.1,-0.533571872,2.26E-11,6.73E-10
COX5A,15q24.2,0.53356233,2.26E-11,6.73E-10
RPL35,9q33.3,0.533466915,2.28E-11,6.79E-10
BAZ2A,12q13.3,-0.533395353,2.30E-11,6.83E-10
SDHB,1p36.13,0.533366729,2.30E-11,6.84E-10
MRPL57,13q12.11,0.533347646,2.31E-11,6.84E-10
RNFT1,17q23.1,0.533276084,2.33E-11,6.88E-10
SDHC,1q23.3,0.532942131,2.41E-11,7.11E-10
NDUFA5,7q31.32,0.532775154,2.45E-11,7.21E-10
RAD54L2,3p21.2,-0.532770383,2.45E-11,7.21E-10
AHCY,20q11.22,0.532684509,2.47E-11,7.25E-10
TOM1L2,17p11.2,-0.532684509,2.47E-11,7.25E-10
TMEM256,17p13.1,0.53256524,2.50E-11,7.33E-10
TRPT1,11q13.1,0.532517533,2.51E-11,7.35E-10
KIDINS220,2p25.1,-0.532412576,2.54E-11,7.42E-10
HELZ,17q24.2,-0.532331473,2.56E-11,7.47E-10
OLA1,2q31.1,0.532298077,2.57E-11,7.49E-10
PTPRK,6q22.33,-0.532231287,2.59E-11,7.53E-10
COA8,14q32.33,0.531787606,2.70E-11,7.86E-10
NDUFAF6,8q22.1,0.531739898,2.72E-11,7.89E-10
DNAJC19,3q26.33,0.531529984,2.78E-11,8.04E-10
CCT4,2p15,0.53144411,2.80E-11,8.10E-10
C2ORF76,2q14.2,0.531291446,2.84E-11,8.22E-10
EED,11q14.2,0.53125328,2.85E-11,8.24E-10
MTFMT,15q22.31,0.531238968,2.86E-11,8.24E-10
COPS4,4q21.22,0.531138782,2.89E-11,8.31E-10
MDP1,14q12,0.531071991,2.91E-11,8.35E-10
METTL2A,17q23.2,0.531062449,2.91E-11,8.35E-10
ARAP1,11q13.4,-0.530852536,2.97E-11,8.51E-10
MTRFR,12q24.31,0.53075235,3.00E-11,8.59E-10
ADAR,1q21.3,-0.530556748,3.06E-11,8.74E-10
TNIK,3q26.2-q26.31,-0.530550225,3.06E-11,8.74E-10
PFDN1,5q31.3,0.530466104,3.09E-11,8.80E-10
CACNA1C,12p13.33,-0.530313439,3.14E-11,8.91E-10
MRPL44,2q36.1,0.530308668,3.14E-11,8.91E-10
MOCS2,5q11.2,0.530289585,3.15E-11,8.92E-10
PRKAB1,12q24.23,0.530246649,3.16E-11,8.94E-10
MADD,11p11.2,-0.530227565,3.17E-11,8.94E-10
DIP2A,21q22.3,-0.530222795,3.17E-11,8.94E-10
SRP9,1q42.12,0.530093984,3.21E-11,9.04E-10
TMEM208,16q22.1,0.529922237,3.26E-11,9.19E-10
MRPL52,14q11.2,0.529898383,3.27E-11,9.20E-10
TOMM5,9p13.2,0.529640761,3.36E-11,9.43E-10
THOC7,3p14.1,0.529488097,3.41E-11,9.56E-10
MNT,17p13.3,-0.529359286,3.45E-11,9.67E-10
ATG2B,14q32.2,-0.529306808,3.47E-11,9.70E-10
CDKL5,Xp22.13,-0.529300283,3.47E-11,9.70E-10
AP1B1,22q12.2,-0.529287725,3.48E-11,9.70E-10
RPSAP58,19p12,0.529240017,3.50E-11,9.73E-10
CYC1,8q24.3,0.528915605,3.61E-11,1.00E-09
SEC61B,9q22.33,0.52888221,3.62E-11,1.01E-09
SRSF7,2p22.1,0.528748628,3.67E-11,1.02E-09
RAPGEF1,9q34.13,-0.528629359,3.72E-11,1.03E-09
OTUD7B,1q21.2,-0.528610276,3.72E-11,1.03E-09
SEMA4C,2q11.2,-0.528409904,3.80E-11,1.05E-09
NDUFB9,8q24.13,0.528395592,3.80E-11,1.05E-09
TSN,2q14.3,0.528328801,3.83E-11,1.05E-09
NIP7,16q22.1,0.528185678,3.88E-11,1.07E-09
ALG5,13q13.3,0.528061638,3.93E-11,1.08E-09
MIEN1,17q12,0.527908974,3.99E-11,1.09E-09
APOO,Xp22.11,0.527875578,4.01E-11,1.10E-09
SRP19,5q22.2,0.527813559,4.03E-11,1.10E-09
NME2P1,12q24.23,0.527741997,4.06E-11,1.11E-09
YRDC,1p34.3,0.527727685,4.07E-11,1.11E-09
NTHL1,16p13.3,0.527718143,4.07E-11,1.11E-09
NDUFB3,2q33.1,0.52769906,4.08E-11,1.11E-09
AUP1,2p13.1,0.527660894,4.09E-11,1.11E-09
MRPL23,11p15.5,0.527527313,4.15E-11,1.12E-09
COX16,14q24.2,0.527527313,4.15E-11,1.12E-09
TSPAN6,Xq22.1,0.527484376,4.17E-11,1.13E-09
DNAJB6,7q36.3,0.527374648,4.21E-11,1.14E-09
ABT1,6p22.2,0.527179047,4.30E-11,1.16E-09
PSMD6,3p14.1,0.526973904,4.38E-11,1.18E-09
METTL2B,7q32.1,0.526964362,4.39E-11,1.18E-09
ARL6IP4,12q24.31,0.526792615,4.46E-11,1.20E-09
CERS5,12q13.12,0.526706741,4.50E-11,1.21E-09
BLOC1S1,12q13.2,0.526668575,4.52E-11,1.21E-09
CDK4,12q14.1,0.526568389,4.56E-11,1.22E-09
C15ORF62,15q15.1,-0.526539764,4.58E-11,1.22E-09
CENPL,1q25.1,0.526347176,4.67E-11,1.24E-09
SAT2,17p13.1,0.526210582,4.73E-11,1.26E-09
COMMD1,2p15,0.526153332,4.76E-11,1.27E-09
MTCH2,11p11.2,0.526096083,4.78E-11,1.27E-09
PPHLN1,12q12,0.525957731,4.85E-11,1.28E-09
RPL41,12q13,0.525948189,4.85E-11,1.28E-09
C12ORF29,12q21.32,0.525948189,4.85E-11,1.28E-09
COA3,17q21.2,0.525752588,4.95E-11,1.31E-09
ASB1,2q37.3,-0.525685797,4.98E-11,1.31E-09
SSR4,Xq28,0.525585611,5.03E-11,1.33E-09
HTRA2,2p13.1,0.525566528,5.04E-11,1.33E-09
CEP76,18p11.21,0.525404322,5.12E-11,1.35E-09
CCDC138,2q13,0.525237346,5.21E-11,1.37E-09
GTF2H1,11p15.1,0.525184867,5.24E-11,1.37E-09
NUBP2,16p13.3,0.52514193,5.26E-11,1.38E-09
PRRC2A,6p21.33,-0.525084681,5.29E-11,1.38E-09
ADCY5,3q21.1,-0.52507991,5.29E-11,1.38E-09
PCLAF,15q22.31,0.52507514,5.29E-11,1.38E-09
NDUFS4,5q11.2,0.52501789,5.32E-11,1.39E-09
HADH,4q25,0.524912934,5.38E-11,1.40E-09
TNS1,2q35,-0.524741186,5.47E-11,1.42E-09
MAP4K4,2q11.2,-0.524531272,5.59E-11,1.45E-09
SNX30,9q32,-0.524521731,5.59E-11,1.45E-09
UBR2,6p21.1,-0.524369066,5.68E-11,1.47E-09
WWP2,16q22.1,-0.524187777,5.78E-11,1.49E-09
TTBK1,6p21.1,-0.523844282,5.98E-11,1.54E-09
RNF123,3p21.31,-0.523739325,6.04E-11,1.56E-09
FICD,12q23.3,-0.523524641,6.17E-11,1.59E-09
SERINC5,5q14.1,-0.523467392,6.20E-11,1.59E-09
TRAPPC2L,16q24.3,0.52339583,6.25E-11,1.60E-09
MED12,Xq13.1,-0.52327179,6.32E-11,1.62E-09
MEA1,6p21.1,0.523057106,6.46E-11,1.65E-09
RCN2,15q24.3,0.523047565,6.46E-11,1.65E-09
DNAAF9,20p13,-0.52295692,6.52E-11,1.67E-09
GAK,4p16.3,-0.522904442,6.56E-11,1.67E-09
KIAA0100,17q11.2,-0.522847192,6.59E-11,1.68E-09
PLBD2,12q24.13,-0.522837651,6.60E-11,1.68E-09
TNRC6C,17q25.3,-0.522541863,6.79E-11,1.73E-09
PIP5K1C,19p13.3,-0.52252278,6.81E-11,1.73E-09
FNIP2,4q32.1,-0.52246854,6.84E-11,1.73E-09
AKAP13,15q25.3,-0.52220791,7.02E-11,1.78E-09
CASKIN2,17q25.1,-0.522141119,7.07E-11,1.79E-09
MRPS34,16p13.3,0.522112495,7.09E-11,1.79E-09
PRDX4,Xp22.11,0.522102953,7.09E-11,1.79E-09
THAP10,15q23,0.52202185,7.15E-11,1.80E-09
ILKAP,2q37.3,0.521978913,7.18E-11,1.81E-09
KDM2A,11q13.2,-0.521854873,7.27E-11,1.82E-09
GON4L,1q22,-0.521769,7.33E-11,1.84E-09
MON1B,16q23.1,-0.521363485,7.63E-11,1.91E-09
GTF2E2,8p12,0.52133486,7.65E-11,1.91E-09
CDC42,1p36.12,0.521291923,7.68E-11,1.92E-09
STX18,4p16.3-p16.2,0.52108678,7.83E-11,1.95E-09
THAP1,8p11.21,0.521058156,7.86E-11,1.96E-09
PSMA6,14q13.2,0.520905491,7.97E-11,1.98E-09
SDHAF2,11q12.2,0.520719431,8.12E-11,2.02E-09
ARL2BP,16q13,0.520604933,8.21E-11,2.04E-09
POLE3,9q32,0.520442727,8.34E-11,2.07E-09
PPCDC,15q24.2,0.520375936,8.40E-11,2.08E-09
METTL9,16p12.2,0.520347312,8.42E-11,2.08E-09
PTPN23,3p21.31,-0.520256667,8.50E-11,2.10E-09
PSMC1,14q32.11,0.520175564,8.56E-11,2.11E-09
MYG1,12q13.13,0.520161252,8.57E-11,2.11E-09
TIMM22,17p13,0.520113544,8.61E-11,2.12E-09
FBXO22,15q24.2,0.519913172,8.78E-11,2.16E-09
PPIB,15q22.31,0.519879777,8.81E-11,2.16E-09
ANAPC11,17q25.3,0.519817757,8.87E-11,2.17E-09
SIK3,11q23.3,-0.519784361,8.89E-11,2.18E-09
RREB1,6p24.3,-0.519779591,8.90E-11,2.18E-09
NT5C3B,17q21.2,0.519512428,9.13E-11,2.23E-09
RPLP2,11p15.5,0.519498116,9.15E-11,2.23E-09
MED7,5q33.3,0.519164162,9.45E-11,2.30E-09
KIAA0513,16q24.1,-0.519106913,9.50E-11,2.31E-09
FH,1q43,0.518944707,9.65E-11,2.35E-09
MARF1,16p13.11,-0.518906541,9.69E-11,2.35E-09
PACS2,14q32.33,-0.518854062,9.74E-11,2.36E-09
POLR2L,11p15.5,0.518701398,9.88E-11,2.39E-09
OST4,2p23.3,0.518691856,9.89E-11,2.39E-09
KIF13B,8p12,-0.51865369,9.93E-11,2.40E-09
SMCR8,17p11.2,-0.518572587,1.00E-10,2.41E-09
ZC3H7B,22q13.2,-0.518510567,1.01E-10,2.43E-09
ABLIM1,10q25.3,-0.518386527,1.02E-10,2.45E-09
AJM1,9q34.3,-0.518143218,1.04E-10,2.51E-09
MEMO1,2p22.3,0.517961929,1.06E-10,2.55E-09
GLT8D1,3p21.1,0.517957159,1.06E-10,2.55E-09
NUDCD1,8q23.1,0.517704308,1.09E-10,2.61E-09
AMOTL1,11q21,-0.517670913,1.09E-10,2.61E-09
TBRG4,7p13,0.517608893,1.10E-10,2.62E-09
CALM2,2p21,0.517608893,1.10E-10,2.62E-09
FAM221A,7p15.3,0.517561185,1.10E-10,2.63E-09
MRPS14,1q25.1,0.517470541,1.11E-10,2.65E-09
SURF1,9q34.2,0.517303564,1.13E-10,2.69E-09
CIAPIN1,16q21,0.51715567,1.15E-10,2.73E-09
FNTA,8p11.21,0.517112733,1.15E-10,2.73E-09
ZFAS1,20q13.13,0.517107962,1.15E-10,2.73E-09
COMMD5,8q24.3,0.516964839,1.17E-10,2.77E-09
ASH1L,1q22,-0.516874195,1.18E-10,2.79E-09
NCK1,3q22.3,0.516692906,1.20E-10,2.83E-09
INTS14,15q22.31,0.516664281,1.20E-10,2.84E-09
NR2C2,3p25.1,-0.516325557,1.24E-10,2.93E-09
PHF5A,22q13.2,0.516153809,1.26E-10,2.97E-09
SNRPGP15,19p13.12,0.515853251,1.30E-10,3.06E-09
DNAJC5,20q13.33,-0.515791231,1.31E-10,3.07E-09
NOP16,5q35.2,0.515629025,1.33E-10,3.12E-09
COX6B1,19q13.12,0.515571776,1.34E-10,3.13E-09
PLGRKT,9p24.1,0.515481132,1.35E-10,3.15E-09
ABCC10,6p21.1,-0.515466819,1.35E-10,3.15E-09
PFDN5,12q13.13,0.515357092,1.36E-10,3.18E-09
CFAP36,2p16.1,0.515290301,1.37E-10,3.20E-09
TUBA1B,12q13.12,0.515271218,1.38E-10,3.20E-09
STAG3L4,7q11.21,0.515194886,1.39E-10,3.22E-09
AP1S1,7q22.1,0.515137637,1.39E-10,3.23E-09
RUBCN,3q29,-0.515075617,1.40E-10,3.25E-09
GEMIN2,14q21.1,0.51497066,1.42E-10,3.28E-09
DSTYK,1q32.1,-0.514956348,1.42E-10,3.28E-09
CDKN3,14q22.2,0.514937264,1.42E-10,3.28E-09
ZBTB47,3p22.1,-0.514899098,1.43E-10,3.29E-09
TSC1,9q34,-0.514865703,1.43E-10,3.29E-09
COPS8,2q37.3,0.514860932,1.43E-10,3.29E-09
CNIH4,1q42.11,0.514789371,1.44E-10,3.31E-09
SREK1IP1,5q12.3,0.514689185,1.45E-10,3.34E-09
FAM168B,2q21.1,-0.514665331,1.46E-10,3.35E-09
FAM102A,9q34.11,-0.514588999,1.47E-10,3.37E-09
PPP1CA,11q13.2,0.51434569,1.50E-10,3.44E-09
CCNB1,5q13.2,0.514317065,1.51E-10,3.44E-09
TGFBRAP1,2q12.1-q12.2,-0.514312294,1.51E-10,3.44E-09
OTUD7A,15q13.3,-0.514255045,1.52E-10,3.46E-09
BMT2,7q31.1,0.514164401,1.53E-10,3.49E-09
NDUFAF5,20p12.1,0.514030819,1.55E-10,3.53E-09
NEDD8,14q12,0.513873384,1.57E-10,3.57E-09
